custormer_id,username,first_name,last_name,street_address,city,state,postal_code,email_address,gender,company,job_title,customer_since,social_security_number,date_of_birth,household_income,credit_score,total_sales
9026-HGfrmkk965s,kblencoe0,Karna,Blencoe,2 Scott Court,Albany,NY,12227,kblencoe0@bloglovin.com,Female,Mohr Inc,Design Engineer,5/26/2006,767-10-7836,7/13/1978,367136,722,233426.61
3555-HGce0op0cvp,strunks1,Symon,Trunks,59 Sheridan Trail,Buffalo,NY,14220,strunks1@ca.gov,Genderqueer,"Halvorson, Rogahn and Gusikowski",Office Assistant IV,1/1/2003,585-47-6622,8/29/1969,184152,655,429028.34
3163-HGh6nvgynun,lwicks2,Lem,Wicks,540 Eagan Terrace,Jamaica,NY,11447,lwicks2@state.gov,Male,Lind LLC,Assistant Media Planner,10/22/2006,705-78-7957,3/30/1951,367651,671,410114.86
9601-HGj0rzzd3sl,jvaliant3,Jobyna,Valiant,352 Canary Parkway,Cleveland,OH,44118,jvaliant3@themeforest.net,Female,"Roob, Hintz and Smith",Administrative Officer,1/11/2019,784-09-9471,4/30/1990,99616,698,584295.65
5654-HGhos49yowz,okingsland4,Orlan,Kingsland,4 Maywood Alley,Louisville,KY,40215,okingsland4@weather.com,Male,Walsh-Nolan,Senior Sales Associate,12/17/2020,831-34-5541,2/21/1994,340060,640,487911.39
9154-HG9nqnqo3ov,sgissop5,Sibelle,Gissop,89572 Sauthoff Center,Austin,TX,78764,sgissop5@telegraph.co.uk,Female,Kohler-Price,General Manager,3/12/2006,195-56-9859,2/12/1960,177674,636,58350.49
3401-HGht3tozf4w,jhenkmann6,Jenna,Henkmann,650 Elgar Parkway,Saint Cloud,MN,56398,jhenkmann6@cnbc.com,Female,Lockman-Lubowitz,Account Coordinator,10/27/1999,842-76-3592,7/23/1999,203105,671,319228.99
5197-HG846xdci0j,cfoot7,Cosette,Foot,59 Dottie Center,Birmingham,AL,35279,cfoot7@blogspot.com,Female,"Lind, D'Amore and Ruecker",Help Desk Technician,1/10/2004,409-21-2931,1/5/1948,91983,573,153797.5
2721-HG5ezb9eqs6,agajownik8,Abbe,Gajownik,13 Rutledge Avenue,San Mateo,CA,94405,agajownik8@google.nl,Female,Herzog Group,Sales Associate,12/6/2018,731-25-5365,7/9/1977,155526,750,226567.88
0300-HG4e2jduud4,speerman9,Sydelle,Peerman,1 Pawling Alley,Houston,TX,77025,speerman9@surveymonkey.com,Female,McClure Inc,Tax Accountant,1/9/1994,148-06-2056,10/9/1976,453268,584,373606.07
3281-HG40v8m9udq,dbarendtsena,Dwayne,Barendtsen,64 Steensland Circle,Columbia,SC,29203,dbarendtsena@flavors.me,Male,"Ankunding, Hessel and Nicolas",Software Test Engineer IV,8/3/2011,431-07-2937,9/13/1946,323524,700,797675.4
9849-HGqydqlls3g,nberrisfordb,Nessa,Berrisford,4 Marcy Hill,Houston,TX,77020,nberrisfordb@woothemes.com,Female,Harris-Torphy,Paralegal,10/7/2008,859-55-7105,1/6/1981,445933,538,607876.08
1067-HGquuhog43j,mhaygreenc,Milton,Haygreen,16767 Moose Crossing,Sacramento,CA,94207,mhaygreenc@gov.uk,Male,"Rath, Cormier and Monahan",Physical Therapy Assistant,7/10/2015,899-39-4892,1/3/1955,211105,610,353918.5
